brand_slug,part_number,title,url,availability,category,series,raw
"lenze","evs9328-es","All Products","https://www.obsoautomation.com/product/evs9328-es/","","","","{""snippet"":""All Products Per Page 12 24 60 Product Manufacturer View XEVS9328-ESAvailableLENZE SERVO CONTROLLER[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemoveXEVS9326-ESAvailableLENZE SERVO CONTROLLER[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemoveXEVS9323-ESAvailableLENZE SERVO CONTROLLER[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemoveXEVS9322-EPAvailableLENZE SERVO CONTROLLER[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemoveXEVS9325-ESAvailableLENZE SERVO CONTROLLER[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemoveXE82EV751_4C200AvailableLENZE AC DRIVE[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemoveXE82EV152_4CAvailableLENZE 8200 Vector series[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemoveXE82EV222_4CAvailableLENZE 8200-SERIES VECTOR FREQUENCY INVERTER[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemoveXE94ASHE0174AvailableLENZE 9400 Servo Drives[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemoveXE82ZAFPC010AvailableLENZE Communication modules[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemoveXE82EV751K4CAvailableLENZE DRIVE[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemoveXE84AVSCE7524SX0AvailableLENZE DRIVE[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemove 1 2 3 … 56 →""}"
"lenze","evs9326-es","EVS9326-ES","https://www.obsoautomation.com/product/evs9326-es/","","","","{""snippet"":""XEVS9326-ESAvailableLENZE SERVO CONTROLLER[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"lenze","evs9323-es","EVS9323-ES","https://www.obsoautomation.com/product/evs9323-es/","","","","{""snippet"":""XEVS9323-ESAvailableLENZE SERVO CONTROLLER[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"lenze","evs9322-ep","EVS9322-EP","https://www.obsoautomation.com/product/evs9322-ep/","","","","{""snippet"":""XEVS9322-EPAvailableLENZE SERVO CONTROLLER[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"lenze","evs9325-es","EVS9325-ES","https://www.obsoautomation.com/product/evs9325-es/","","","","{""snippet"":""XEVS9325-ESAvailableLENZE SERVO CONTROLLER[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"lenze","e82ev751_4c200","E82EV751_4C200","https://www.obsoautomation.com/product/e82ev751_4c200/","","","","{""snippet"":""XE82EV751_4C200AvailableLENZE AC DRIVE[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"lenze","e82ev152_4c","E82EV152_4C","https://www.obsoautomation.com/product/e82ev152_4c/","","","","{""snippet"":""XE82EV152_4CAvailableLENZE 8200 Vector series[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"lenze","e82ev222_4c","E82EV222_4C","https://www.obsoautomation.com/product/e82ev222_4c/","","","","{""snippet"":""XE82EV222_4CAvailableLENZE 8200-SERIES VECTOR FREQUENCY INVERTER[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"lenze","e94ashe0174","E94ASHE0174","https://www.obsoautomation.com/product/e94ashe0174/","","","","{""snippet"":""XE94ASHE0174AvailableLENZE 9400 Servo Drives[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"lenze","e82zafpc010","E82ZAFPC010","https://www.obsoautomation.com/product/e82zafpc010/","","","","{""snippet"":""XE82ZAFPC010AvailableLENZE Communication modules[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"lenze","e82ev751k4c","E82EV751K4C","https://www.obsoautomation.com/product/e82ev751k4c/","","","","{""snippet"":""XE82EV751K4CAvailableLENZE DRIVE[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"lenze","e84avsce7524sx0","E84AVSCE7524SX0","https://www.obsoautomation.com/product/e84avsce7524sx0/","","","","{""snippet"":""XE84AVSCE7524SX0AvailableLENZE DRIVE[…]LENZEQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"lenze","2198-d032-ers3","2198-D032-ERS3","https://www.obsoautomation.com/product/2198-d032-ers3/","","","","{""snippet"":""2198-D032-ERS3 Available ALLEN BRADLEY SERVO PRODUCTS[…] Get a Quote""}"
